questions,example
"Двигатель (двз, мотор, движок)","1: Тип топлива:
Бензиновый или дизельный?
2: Для бензинового двигателя:
Какое количество клапанов: 16 или 8?
3: Для дизельного двигателя:
Двигатель турбированный или атмосферный?
4: Комплектация:
Если нужен ""голый"" двигатель, предлагаем соответствующую цену.
Если в сборе с навесным, уточнить, все ли компоненты из подкапотного пространства требуются, или что-то можно исключить."
АКПП (автоматическая коробка передач),"1: Комплектация:
Коробка с блоком управления (мозгами) или без?
2: Уточнить год выпуска машины."
МКПП,"1: Уточнить год выпуска машины.
2: Тип топлива:
Бензин или дизель?
3: Привод:
Полный или задний?"
Кулак,"1: Диаметр заднего сальника:
100 мм, 85 мм, или 82: мм?
2: Если сторона не указана:
Кулак нужен правый или левый?
3: Если не известно, какой сальник:
- Нужно сфотографировать место соединения кулака и привода на машине. Для этого встаньте на колено около переднего бампера и снимите фото со вспышкой.
- Если место в грязи, его следует почистить карщеткой или другим подручным инструментом."
Привод передний,"1: Уточнить год выпуска машины.
2: Диаметр заднего сальника на кулаке:
100 мм, 85 мм, или 82: мм?
3: Объяснение важности выбора:
Сальник на кулаке и посадочное на приводе должны строго соответствовать друг другу, иначе возможно попадание воды и грязи в кулак, что приведет к быстрому выходу его из строя.
4: Если не знаете, какой сальник:
Нужно сделать фото соединения кулака и привода на машине."
Суппорт,"1: Уточнить, рестайл или дорестайл? (Год выпуска машины).
2: Особенности суппорта:
- Если 1999 года - определить тип: чугунный гладкий или алюминиевый с ребром.
- Если дорестайл (до 1999 года) - чаще всего гладкий чугунный.
- Если рестайл (после 1999 года) - алюминиевый с ребром."
Редуктор задний (задний мост),"1: Уточнить, рестайл или дорестайл? (Год выпуска машины).
2: Проверка указанных характеристик:
- Если дорестайл, проверить количество шлицов на полуосях и форму крепления тормозного щитка (трапеция или квадрат).
- Если рестайл, аналогичные действия.
3: Мост в сборе или отдельно редуктор?
- Если в сборе, уточните базу (длинная или короткая).
4: Знаете передаточное число?
- Если нет, тип топлива: бензин или дизель?
- Если дизель, вероятнее всего 40 на 9; желательно пересчитать или прислать инструкцию.
- Если бензин, то спросить МКПП или АКПП
- Если АКПП, то скорее всего у вас 43на9, но лучше посчитать, вот тут https://vk.com/sportage_1?w=wall-166459367_2339 я писал, как это сделать не снимая редуктор
- Если МКПП, то скорее всего 37на8, но бывает, что их меняют на более тяговитый 43на9, поэтому лучше посчитать, вот тут https://vk.com/sportage_1?w=wall-166459367_2339 я писал, как это сделать не снимая редуктор"
Редуктор передний (передний мост),"1: Полная сборка или только редуктор?
2: Знаете передаточное число?
3: Тип топлива: бензин или дизель?
4: Если бензин - автоматическая или механическая коробка передач?"
Редуктор рулевой (Рулевая колонка),"1: Уточнить год выпуска автомобиля.
2: Если дорестайл (1993-1998), проверить длину штока.
3: Если рестайл (1999-2006), уточнить сборку: Европа, США или Калининград.
- Для автомобиля калининградской сборки: шток может быть разной длины. Проверка визуально или по фотографии."
Крылья передние,"1: С расширителями или без?
2: Нужны ли отверстия под повторители?"
Зеркало,"1: С обогревом или без?
2: Уточнить цвет и тип фишки (белая или пластиковая)."
Фары,"1: Год выпуска машины.
2: Материал фары (стекло или пластик).
3: Корректор механический или электрический"
